path	exists	kind	compile_status	reference_hits_by_stem
client/e2e/screenshots/mobile-hub-containment/chromium-mobile-landscape-daily-puzzle.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/chromium-mobile-landscape-home.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/chromium-mobile-landscape-multiplayer.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/chromium-mobile-landscape-social.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/chromium-mobile-landscape-solo.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/chromium-mobile-portrait-daily-fritz.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/chromium-mobile-portrait-daily-puzzle.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/chromium-mobile-portrait-home.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/chromium-mobile-portrait-multiplayer.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/chromium-mobile-portrait-social.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/chromium-mobile-portrait-solo.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/webkit-mobile-landscape-daily-fritz.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/webkit-mobile-landscape-daily-puzzle.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/webkit-mobile-landscape-home.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/webkit-mobile-landscape-multiplayer.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/webkit-mobile-landscape-social.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/webkit-mobile-landscape-solo.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/webkit-mobile-portrait-daily-fritz.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/webkit-mobile-portrait-daily-puzzle.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/webkit-mobile-portrait-home.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/webkit-mobile-portrait-multiplayer.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/webkit-mobile-portrait-social.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/webkit-mobile-portrait-solo.png	yes	asset_or_other	n/a	-
client/playwright.config.ts	yes	code	included_in_successful_builds	2
client/src/auth/useAuth.ts	yes	code	included_in_successful_builds	108
client/src/components/GlobalNav.authPlaceholder.test.tsx	yes	code	included_in_successful_builds	0
client/src/components/GlobalNav.tsx	yes	code	included_in_successful_builds	109
client/src/dailyFritz/api.ts	yes	code	included_in_successful_builds	923
client/src/dailyFritz/dailyFritz.css	yes	code	included_in_successful_builds	1579
client/src/dailyFritz/dailyFritzMutations.ts	yes	code	included_in_successful_builds	4
client/src/dailyFritz/dailyFritzObservability.ts	yes	code	included_in_successful_builds	3
client/src/dailyFritz/dailyFritzRequestIds.ts	yes	code	included_in_successful_builds	4
client/src/dailyFritz/dailyFritzScreenTypes.ts	yes	code	included_in_successful_builds	11
client/src/dailyFritz/useDailyFritzRunController.ts	yes	code	included_in_successful_builds	35
client/src/matchmaking/matchmakingScreen.css	yes	code	included_in_successful_builds	12
client/src/modules/daily/useDailyFritzCompletion.ts	yes	code	included_in_successful_builds	7
client/src/modules/daily/useDailyFritzSessionPersistence.ts	yes	code	included_in_successful_builds	19
client/src/screens/HomeScreen.tsx	yes	code	included_in_successful_builds	55
client/src/screens/RacehorseHomeArt.css	yes	code	included_in_successful_builds	32
client/src/screens/SinglePlayerHubScreen.tsx	yes	code	included_in_successful_builds	30
client/src/screens/SinglePlayerModes.css	yes	code	included_in_successful_builds	11
client/src/styles/_pvf-layout.css	yes	code	included_in_successful_builds	28
client/src/styles/rh-mobile-chrome.css	yes	code	included_in_successful_builds	3
client/src/utils/sound.ts	yes	code	included_in_successful_builds	127
client/tailwind.config.js	yes	code	included_in_successful_builds	1
docs/superpowers/plans/2026-08-18-daily-fritz-chesscom-platform.md	yes	asset_or_other	n/a	-
dump.rdb	yes	asset_or_other	n/a	-
server/src/http/routes/dailyFritzCheckpointRoute.ts	yes	code	included_in_successful_builds	3
server/src/http/routes/dailyFritzClientPhase.test.ts	yes	code	included_in_successful_builds	1
server/src/http/routes/dailyFritzClientPhase.ts	yes	code	included_in_successful_builds	4
server/src/http/routes/dailyFritzMetrics.ts	yes	code	included_in_successful_builds	12
server/src/http/routes/dailyFritzMetricsExport.ts	yes	code	included_in_successful_builds	2
server/src/http/routes/dailyFritzRecordGameAdvance.test.ts	yes	code	included_in_successful_builds	1
server/src/http/routes/dailyFritzStartRoute.ts	yes	code	included_in_successful_builds	4
server/src/http/routes/dailyFritzTodayRoute.ts	yes	code	included_in_successful_builds	3
server/tsconfig.tsbuildinfo	yes	asset_or_other	n/a	-
